Ratio,Mode,Classifier,AUC,F1,Precision,Recall,PosPreds
40%,No-SLTE,Logistic Regression,0.6471873934655772,0.39515151515151514,0.29853479853479853,0.5842293906810035,8736
40%,No-SLTE,Naive Bayes,0.6283500123828807,0.09533150255001961,0.3832807570977918,0.05443548387096774,634
40%,No-SLTE,Decision Tree,0.7103750547528525,0.4344560064035466,0.29956695253460136,0.7903225806451613,11777
40%,No-SLTE,Random Forest,0.6986216223381887,0.21049274437888693,0.36524626452684006,0.1478494623655914,1807
40%,No-SLTE,Gradient Boosting,0.7210355887445202,0.0004479283314669653,1.0,0.00022401433691756272,1
40%,SLTE,Logistic Regression,0.6431840482593062,0.38787791947270384,0.2851274489151043,0.6064068100358423,9494
40%,SLTE,Naive Bayes,0.6199856253446179,0.31551109578015407,0.324120009449563,0.30734767025089604,4233
40%,SLTE,Decision Tree,0.7060007818280667,0.43537414965986393,0.29488401652367335,0.8315412186379928,12588
40%,SLTE,Random Forest,0.7007398034748454,0.20500324886289797,0.37293144208037826,0.14135304659498207,1692
40%,SLTE,Gradient Boosting,0.7190306401126507,0.003127094036184945,0.5384615384615384,0.0015681003584229391,13
60%,No-SLTE,Logistic Regression,0.6336826379924252,0.3779336004579279,0.2776492851135408,0.5916218637992832,9512
60%,No-SLTE,Naive Bayes,0.6166694335141905,0.04949238578680203,0.4431818181818182,0.02620967741935484,264
60%,No-SLTE,Decision Tree,0.6976164084749695,0.4328462073764788,0.30159569778718154,0.766353046594982,11343
60%,No-SLTE,Random Forest,0.6886947981539654,0.1721381187276748,0.3575971731448763,0.11335125448028674,1415
60%,No-SLTE,Gradient Boosting,0.712682559875647,0.0,0.0,0.0,0
60%,SLTE,Logistic Regression,0.6327662133963468,0.3765407016118109,0.269850514463211,0.6227598566308243,10302
60%,SLTE,Naive Bayes,0.6138683781555013,0.310104940455135,0.32735872541697786,0.294578853046595,4017
60%,SLTE,Decision Tree,0.6937523325832498,0.427442486682667,0.2893256200966796,0.8178763440860215,12619
60%,SLTE,Random Forest,0.6899124142289966,0.16818886782698605,0.36445108289768485,0.10931899641577061,1339
60%,SLTE,Gradient Boosting,0.7137093155324598,0.0008950548221078541,0.4,0.00044802867383512545,5
80%,No-SLTE,Logistic Regression,0.6107353137917457,0.35749914588315684,0.25720184839248844,0.5860215053763441,10171
80%,No-SLTE,Naive Bayes,0.591794382265927,0.025272331154684097,0.4603174603174603,0.012992831541218637,126
80%,No-SLTE,Decision Tree,0.6877885190887337,0.42063492063492064,0.29842342342342343,0.7123655913978495,10656
80%,No-SLTE,Random Forest,0.6724164589816823,0.1235605922134893,0.3356504468718967,0.07571684587813621,1007
80%,No-SLTE,Gradient Boosting,0.7003995663045868,0.0,0.0,0.0,1
80%,SLTE,Logistic Regression,0.6209455144614574,0.36301710068828497,0.26565583134281856,0.5730286738351255,9629
80%,SLTE,Naive Bayes,0.6080953806369535,0.18917134367778143,0.3594730238393977,0.12836021505376344,1594
80%,SLTE,Decision Tree,0.6758949285145135,0.4242602506029766,0.28767451136816913,0.8077956989247311,12535
80%,SLTE,Random Forest,0.6838628398892509,0.10299446881556361,0.3465982028241335,0.06048387096774194,779
80%,SLTE,Gradient Boosting,0.7103434880573769,0.002681564245810056,0.5454545454545454,0.0013440860215053765,11
100%,No-SLTE,Logistic Regression,0.5889792704583677,0.34050641504310636,0.2442777831888575,0.5618279569892473,10267
100%,No-SLTE,Naive Bayes,0.5631504758215873,0.017872711421098517,0.33064516129032256,0.009184587813620072,124
100%,No-SLTE,Decision Tree,0.6468123262688947,0.3992775771047513,0.2893677003624648,0.6438172043010753,9932
100%,No-SLTE,Random Forest,0.6360853384152919,0.04776611076796376,0.2951653944020356,0.025985663082437275,393
100%,No-SLTE,Gradient Boosting,0.6872562533039638,0.0008954555630176853,0.6666666666666666,0.00044802867383512545,3
100%,SLTE,Logistic Regression,0.5961918921387094,0.30227664052037495,0.2637729549248748,0.3539426523297491,5990
100%,SLTE,Naive Bayes,0.5986700935958871,0.09540705696826335,0.3973727422003284,0.05421146953405018,609
100%,SLTE,Decision Tree,0.6499058116343411,0.4043262730959892,0.3382596893379581,0.5024641577060932,6631
100%,SLTE,Random Forest,0.6851025945538081,0.017613386173491855,0.5128205128205128,0.008960573476702509,78
100%,SLTE,Gradient Boosting,0.711374770474824,0.0004479283314669653,1.0,0.00022401433691756272,1
