Seed,Ratio,Mode,Classifier,AUC,F1
1,100%,No-SLTE,Naive Bayes,0.5631504758215873,0.017872711421098517
1,100%,No-SLTE,Decision Tree,0.6469191654385368,0.3993332870338218
1,100%,No-SLTE,Random Forest,0.6326199095084677,0.04375644994840041
1,100%,No-SLTE,Gradient Boosting,0.6872562533039638,0.0008954555630176853
1,100%,SLTE,Logistic Regression,0.5962231032961827,0.3028505835087048
1,100%,SLTE,Naive Bayes,0.5986700935958871,0.09540705696826335
1,100%,SLTE,Decision Tree,0.6500871931554667,0.4044680659400054
1,100%,SLTE,Random Forest,0.6855536199050896,0.01978021978021978
1,100%,SLTE,Gradient Boosting,0.711374770474824,0.0004479283314669653
2,0%,No-SLTE,Logistic Regression,0.6648295700651629,0.40769539078156314
2,0%,No-SLTE,Naive Bayes,0.6360747865553,0.18716490658001625
2,0%,No-SLTE,Decision Tree,0.7157827115786336,0.437816040453178
2,0%,No-SLTE,Random Forest,0.709505377055162,0.2536285002199091
2,0%,No-SLTE,Gradient Boosting,0.7289934307751257,0.0066725978647686835
2,0%,SLTE,Logistic Regression,0.6648295700651629,0.40769539078156314
2,0%,SLTE,Naive Bayes,0.6360747865553,0.18716490658001625
2,0%,SLTE,Decision Tree,0.7157827115786336,0.437816040453178
2,0%,SLTE,Random Forest,0.709505377055162,0.2536285002199091
2,0%,SLTE,Gradient Boosting,0.7289934307751257,0.0066725978647686835
2,20%,No-SLTE,Logistic Regression,0.6592001591083351,0.40704748360590975
2,20%,No-SLTE,Naive Bayes,0.6351921253716388,0.16040013797861333
2,20%,No-SLTE,Decision Tree,0.7142247377043784,0.4410230941147256
2,20%,No-SLTE,Random Forest,0.7057425025161932,0.22542189193373588
2,20%,No-SLTE,Gradient Boosting,0.7255775549773493,0.0004476275738585497
2,20%,SLTE,Logistic Regression,0.6557159501763264,0.4102604453536864
2,20%,SLTE,Naive Bayes,0.6276684841261424,0.263172338090011
2,20%,SLTE,Decision Tree,0.7134797205186872,0.4344543184062264
2,20%,SLTE,Random Forest,0.7056588875967622,0.22913763740517107
2,20%,SLTE,Gradient Boosting,0.7230913475662306,0.0013422818791946308
2,40%,No-SLTE,Logistic Regression,0.6476849435039955,0.3985099589478486
2,40%,No-SLTE,Naive Bayes,0.6227605105667926,0.1036951054362546
2,40%,No-SLTE,Decision Tree,0.7099517867613089,0.43765094699377144
2,40%,No-SLTE,Random Forest,0.6986310631419237,0.2077880625598468
2,40%,No-SLTE,Gradient Boosting,0.7214109035480255,0.0008954555630176853
2,40%,SLTE,Logistic Regression,0.6426794763453456,0.39135150770120763
2,40%,SLTE,Naive Bayes,0.6188232446377758,0.3301162535643781
2,40%,SLTE,Decision Tree,0.7029736614400548,0.43085780080598735
2,40%,SLTE,Random Forest,0.699746265225661,0.20741935483870969
2,40%,SLTE,Gradient Boosting,0.7192021745008957,0.0008946544397226571
2,60%,No-SLTE,Logistic Regression,0.6324138371428722,0.3790322580645161
2,60%,No-SLTE,Naive Bayes,0.6140342239357123,0.03357004519044545
2,60%,No-SLTE,Decision Tree,0.6936271133686759,0.4315857151206967
2,60%,No-SLTE,Random Forest,0.6911542957726735,0.16613202768867127
2,60%,No-SLTE,Gradient Boosting,0.7117859311276162,0.002680366316729953
2,60%,SLTE,Logistic Regression,0.6331523784578104,0.3770814925576021
2,60%,SLTE,Naive Bayes,0.6145560902339197,0.30594094628246177
2,60%,SLTE,Decision Tree,0.692424334656341,0.43038873439441455
2,60%,SLTE,Random Forest,0.6944187441260044,0.16888433981576254
2,60%,SLTE,Gradient Boosting,0.71332396947818,0.002681564245810056
2,80%,No-SLTE,Logistic Regression,0.6136748258066953,0.3598996795318378
2,80%,No-SLTE,Naive Bayes,0.5941628748538739,0.027886710239651415
2,80%,No-SLTE,Decision Tree,0.6831752230442261,0.42354124748490946
2,80%,No-SLTE,Random Forest,0.6810665906424836,0.14242152466367713
2,80%,No-SLTE,Gradient Boosting,0.7044457220956507,0.0
2,80%,SLTE,Logistic Regression,0.6226226380086783,0.3641842445114077
2,80%,SLTE,Naive Bayes,0.6076070237954474,0.1997751726352979
2,80%,SLTE,Decision Tree,0.6814261728893943,0.4197806527878111
2,80%,SLTE,Random Forest,0.6883763249885516,0.12544334515587083
2,80%,SLTE,Gradient Boosting,0.7114239616969767,0.0008954555630176853
2,100%,No-SLTE,Logistic Regression,0.5890848779427881,0.34055559328941115
2,100%,No-SLTE,Naive Bayes,0.5631504758215873,0.017872711421098517
2,100%,No-SLTE,Decision Tree,0.6469178385199217,0.3993332870338218
2,100%,No-SLTE,Random Forest,0.6348708269488866,0.04862971357922934
2,100%,No-SLTE,Gradient Boosting,0.6872562533039638,0.0008954555630176853
2,100%,SLTE,Logistic Regression,0.5961930222416447,0.3028216164514586
2,100%,SLTE,Naive Bayes,0.5986700935958871,0.09540705696826335
2,100%,SLTE,Decision Tree,0.6501077254750902,0.4044680659400054
2,100%,SLTE,Random Forest,0.68674974497767,0.01280070624586184
2,100%,SLTE,Gradient Boosting,0.711374770474824,0.0004479283314669653
